#Measurement:		IV
#Sensor type:		HPK_8in_198ch_2019
#Needle measurement:	0
#Identifier:		N4792_18_03242022_FullRetest
#Timestamp:		24.3.2022 13:44 
#Voltage delay:		5.0 s
#Switch delay:		0.3 s
#Compliance level:		425.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		None
#Masked channels:		
199
#Vltg. sign inversion?:	0
#VISA source:		GPIB0::24::INSTR
#VISA DMM:		GPIB0::14::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		\\cern.ch\dfs\Users\h\hgsensor\Desktop\HexDAQ\bin\HexPlot.exe -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest_IV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest_IV.pdf" --IV  --select -850  --if SELECTOR:PADNUM:VAL  --pn 0  -g "C:\Users\probe-station\Desktop\HGCAL_sensor_tests-master\oldHGCAL_sensor_tests-master\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot analysis cmd:	\\cern.ch\dfs\Users\h\hgsensor\Desktop\HexDAQ\bin\HexPlot.exe -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest_IV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest_IV_analysis.pdf" --IV  --select -850  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-175 -g "C:\Users\probe-station\Desktop\HGCAL_sensor_tests-master\oldHGCAL_sensor_tests-master\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot on matrix cmd:	\\cern.ch\dfs\Users\h\hgsensor\Desktop\HexDAQ\bin\HexPlot.exe -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest_IV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest\HPK_8in_198ch_2019_N4792_18_03242022_FullRetest_IV.pdf" --IV  --select -850  --if SELECTOR:PADNUM:VAL  --pn 0  -g "C:\Users\probe-station\Desktop\HGCAL_sensor_tests-master\oldHGCAL_sensor_tests-master\geo\switch_matrix.txt" -m "C:\Users\probe-station\Desktop\HGCAL_sensor_tests-master\oldHGCAL_sensor_tests-master\src\..\maps\Probe_card_HPK_8in_198ch_2019.txt"  --colorpalette 1
#Voltage file:		C:\Users\probe-station\Desktop\Voltage_Files\IV1to850cern.txt
#CV correction file:		None
#Comments:		Full IV+ CV retest of sensor to check performance on grading criteria, and if changes have occurred since last full test (Nov 2021)

#Voltage	#Channel	#Current    	#Error     	#Tot. curr.	#Act. vlt.	#Time  	#Temp	#Hum.	#n/a       	#Error     	#n/a       	#Error     	#n/a       	#Error     	#n/a       	#n/a       
#[V]    	#       	#[nA]       	#[nA]      	#[nA]      	#[V]      	#[s]   	#[C] 	#[%] 	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     	#[n/a]     
-1.0    	1       	-3.717467E-1	1.088916E-4	-4.10E+1   	-1.00     	7.42   	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	2       	-1.409070E-1	3.907177E-5	-4.10E+1   	-1.00     	10.62  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	3       	-1.329669E-1	1.452199E-4	-4.10E+1   	-1.00     	12.99  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	4       	-2.635341E-1	1.258873E-4	-4.08E+1   	-1.00     	15.37  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	5       	-1.377200E-1	5.407781E-5	-4.09E+1   	-1.00     	17.74  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	6       	-1.339454E-1	6.687810E-5	-4.08E+1   	-1.00     	20.11  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	7       	-1.429302E-1	4.218546E-5	-4.08E+1   	-1.00     	22.48  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	8       	-1.110896E-1	9.059251E-5	-4.08E+1   	-1.00     	24.86  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	9       	-2.080453E-1	1.880704E-4	-4.11E+1   	-1.00     	27.23  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	10      	-1.917568E-1	2.676896E-4	-4.07E+1   	-1.00     	29.60  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	11      	-1.871053E-1	2.648375E-4	-4.09E+1   	-1.00     	31.97  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	12      	-1.855732E-1	1.168983E-4	-4.09E+1   	-1.00     	34.34  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	13      	-2.005314E-1	1.309518E-4	-4.09E+1   	-1.00     	35.63  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	14      	1.336189E-3 	5.771726E-5	-4.09E+1   	-1.00     	36.93  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	15      	-1.861262E-1	7.752789E-5	-4.09E+1   	-1.00     	38.23  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
-1.0    	16      	-3.803242E-1	7.469440E-5	-4.09E+1   	-1.00     	39.53  	23.1 	53.1 	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0
