,,,,,,,,HPK full probe card,,,,,,,,,CMS full probe card IV,,,,,,,,,,CMS full probe card CV,,
Delivery,Sensor ID,Scratch pad ID,Thick- ness,Current location wafer,Current location half moons,wafer seen on top of stack of five sensors,Comments after visual inspection,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,1) Ncell with I600 > 100nA,,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,Measurement performed at,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,1) Ncell with I600 > 100nA,,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,V dep corresponding to thickness,Maximum variation of Vdep across sensor of ± 10% ,Thickness variation < 10 / X μm
2,N8737_2,300048,120,CERN,CERN,Seen 20.7.,,Passed,Passed,,0,,0,Passed,Passed,,CERN,Passed,Passed,,0,,0,Passed,Passed,,Passed: 21.5 V < 70 V,Passed: 0.9%,Passed: 1.2%
2,N8737_3,300049,120,CERN,CERN,,,Passed,Passed,,0,,0,Passed,Passed,,CERN,Passed,Passed,,0,,0,Passed,Passed,,Passed: 21.6 V < 70 V,Passed: 1.2%,Passed: 1.1%
2,N8737_4,300050,120,CERN,CERN,,Structural Damage Pad 332,Passed,Failed,,1,,1,Passed,Passed,,CERN,Passed,Failed,,1,,1,Passed,Passed,,Passed: 21.5 V < 70 V,Passed: 1.4%,Passed: 1.1%
2,N8737_5,300051,120,CERN,CERN,,,Passed,Passed,,0,,0,Passed,Passed,,CERN,Passed,Passed,,0,,0,Passed,Passed,,Passed: 21.8 V < 70 V,Passed: 0.8%,Passed: 0.9%
2,N8737_6,300052,120,CERN,HEPHY,Seen 20.7.,,Passed,Passed,,0,,0,Passed,Passed,,CERN,Passed,Passed,,0,,0,Passed,Passed,,Passed: 22.3 V < 70 V,Passed: 2.1%,Passed: 1.3%
2,N8737_7,300053,120,CERN,HEPHY,,,Passed,Passed,,0,,0,Passed,Passed,,CERN,Passed,Passed,,0,,0,Passed,Passed,,Passed: 21.2 V < 70 V,Passed: 1.1%,Passed: 0.9%
2,N8737_8,300054,120,CERN,HEPHY,,,Passed,Passed,,0,,0,Passed,Passed,,CERN,Passed,Passed,,0,,0,Passed,Passed,,Passed: 21.6 V < 70 V,Passed: 2.0%,Passed: 1.2%
2,N8737_9,300055,120,CERN,HEPHY,,,Passed,Passed,,0,,0,Passed,Passed,,CERN,Passed,Passed,,0,,0,Passed,Passed,,Passed: 21.3 V < 70 V,Passed: 1.0%,Passed: 1.3%
2,N8737_10,300056,120,CERN,HEPHY,,,Passed,Passed,,0,,0,Passed,Passed,,CERN,Passed,Passed,,0,,0,Passed,Passed,,Passed: 21.4 V < 70 V,Passed: 2.3%,Passed: 1.3%
2,N8737_11,300057,120,FSU,HEPHY,Seen 20.7.,,Passed,Passed,,0,,0,Passed,Passed,,FSU,,,,,,,,,,,,
2,N8737_12,300058,120,FSU,HEPHY,,,Passed,Passed,,0,,0,Passed,Passed,,FSU,,,,,,,,,,,,
2,N8737_13,300059,120,FSU,HEPHY,,,Passed,Failed,,1,,1,Passed,Passed,,FSU,,,,,,,,,,,,
2,N8737_14,300060,120,FSU,HEPHY,,,Passed,Passed,,1,,0,Passed,Passed,,FSU,,,,,,,,,,,,
2,N8737_15,300061,120,FSU,HEPHY,,,Passed,Passed,,0,,0,Passed,Passed,,FSU,,,,,,,,,,,,
2,N8737_16,300062,120,CERN->TTU,FSU,Seen 20.7.,,Passed,Passed,,0,,0,Passed,Passed,,TTU,,,,,,,,,,,,
2,N8737_17,300063,120,CERN->TTU,FSU,,,Passed,Passed,,0,,0,Passed,Passed,,TTU,,,,,,,,,,,,
2,N8737_18,300064,120,CERN->TTU,FSU,,,Passed,Passed,,0,,0,Passed,Passed,,TTU,,,,,,,,,,,,
2,N8737_19,300065,120,CERN->TTU,FSU,,,Passed,Passed,,0,,0,Passed,Passed,,TTU,,,,,,,,,,,,
2,N8737_20,300066,120,CERN->TTU,FSU,,,Passed,Passed,,0,,0,Passed,Passed,,TTU,,,,,,,,,,,,
2,N8737_21,300067,120,CERN->NCU,FSU,Seen 20.7.,,Passed,Passed,,0,,0,Passed,Passed,,NCU,,,,,,,,,,,,
2,N8737_22,300068,120,CERN->NCU,FSU,,,Passed,Passed,,0,,0,Passed,Passed,,NCU,,,,,,,,,,,,
2,N8737_23,300069,120,CERN->NCU,FSU,,,Passed,Passed,,0,,0,Passed,Passed,,NCU,,,,,,,,,,,,
2,N8737_24,300070,120,CERN->NCU,FSU,,,Passed,Passed,,0,,0,Passed,Passed,,NCU,,,,,,,,,,,,
2,N8737_25,300071,120,CERN->NCU,FSU,,,Passed,Passed,,0,,0,Passed,Passed,,NCU,,,,,,,,,,,,
