,,,,,,,,,HPK full probe card,,,,,,,,,"HPK full probe card (Remeasured, presumably)",,,,,,,HPK full probe card (without calibration cells),,,,,,,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,HD or LD?,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,Ncell with I600 > 100nA,Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,More than 8 bad cells: requirem. 1) and 2),More than two neighbour cells bad: requirem. 1) and 2),,,Sensor ID,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,Ncell with I600 > 100nA,,Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,, Ncell with I600 > 100nA,,Ncell with I800 > 2.5 * I600 and I600>10nA threshold || I800>25nA and I600<10nA,More than 8 bad cells: requirem. 1) and 2),More than two neighbour cells bad: requirem. 1) and 2)
N4791_1,100088,300,com,A,-5,STD,FZ,LD,Passed,Failed,1,0,Passed,Passed,,,N4791_1,Passed,Failed,1,,0,Passed,Passed,,,,,,,,
N4791_2,100089,300,com,A,-5,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,N4791_2,Passed,Passed,0,,0,Passed,Passed,,,,,,,,
N4791_3,100090,300,com,A,-5,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4791_4,100091,300,com,A,-5,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_1,100076,300,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,N4790_1,Passed,Passed,0,,0,Passed,Passed,,,,,,,,
N4790_2,100077,300,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,N4790_2,Passed,Passed,0,,0,Passed,Passed,,,,,,,,
N4790_3,100078,300,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,N4790_3,Passed,Passed,0,,0,Passed,Passed,,,,,,,,
N4790_4,100079,300,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_5,100080,300,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4790_6,100081,300,com,B,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4791_6,100093,300,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,N4791_6,Passed,Passed,0,,0,Passed,Passed,,,,,,,,
N4791_7,100094,300,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,N4791_7,Passed,Passed,0,,0,Passed,Passed,,,,,,,,
N4791_8,100095,300,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,N4791_8,Passed,Passed,0,,0,Passed,Passed,,,,,,,,
N4791_9,100096,300,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,N4791_9,Passed,Passed,0,,0,Passed,Passed,,,,,,,,
N4791_10,100097,300,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
N4791_11,100098,300,com,C,-2,STD,FZ,LD,Passed,Passed,0,0,Passed,Passed,,,,,,,,,,,,,,,,,,
