#Measurement:		CV
#Sensor type:		HPK_8in_198ch_2019
#Needle measurement:	0
#Identifier:		100113_20220701
#Timestamp:		1.7.2022 10:54 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		1000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		None
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::24::INSTR
#VISA DMM:		GPIB0::14::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot analysis cmd:	 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV_analysis.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-199--invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\geo\hex_positions_HPK_198ch_8inch_edge_ring_testcap.txt" --colorpalette 1
#HexPlot on matrix cmd:	 -i "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.txt" -o  "C:\Users\probe-station\CernBox\FSUHGCAL\HGCSiliconRawData\HPK_8in_198ch_2019_100113_20220701\HPK_8in_198ch_2019_100113_20220701_CV.pdf" --CV  --select -400  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\probe-station\Desktop\MasterHexDAQ\geo\switch_matrix.txt" -m "C:\Users\probe-station\Desktop\MasterHexDAQ\src\..\maps\Probe_card_HPK_8in_198ch_2019.txt"  --colorpalette 1
#Voltage file:		C:\Users\probe-station\Desktop\Voltage_Files\CV_300um_1to400.txt
#CV correction file:		None
#Comments:		

#Voltage	#Channel	#Cs        	#Error     	#Tot. curr.	#Act. vlt.	#Time  	#Temp	#Hum.	#Cp        	#Error      	#Impedance 	#Error     	#Phase      	#Error      	#Cs uncorr.	#Cp uncorr.
#[V]    	#       	#[pF]      	#[pF]      	#[nA]      	#[V]      	#[s]   	#[C] 	#[%] 	#[pF]      	#[pF]       	#[Ohm]     	#[Ohm]     	#[Rad]      	#[Rad]      	#[pF]      	#[pF]      
-5.0    	1       	3.132789E+2	1.051055E-3	-4.65E+1   	-5.00     	23.02  	23.5 	17.7 	2.887988E+2	3.269149E-7 	2.645617E+5	5.773503E-1	-1.287483E+0	5.773503E-6 	3.132789E+2	2.887988E+2
-5.0    	2       	3.662306E+2	2.491354E-3	-4.16E+1   	-5.00     	25.45  	23.5 	17.7 	3.429324E+2	5.442252E-6 	2.245477E+5	1.527525E+0	-1.315820E+0	0.000000E+0 	3.662306E+2	3.429324E+2
-5.0    	3       	3.582905E+2	3.438887E-3	-4.35E+1   	-5.00     	27.70  	23.5 	17.7 	3.354104E+2	1.719045E-5 	2.295537E+5	2.516611E+0	-1.315323E+0	5.773503E-6 	3.582905E+2	3.354104E+2
-5.0    	4       	3.636028E+2	5.790331E-3	-4.91E+1   	-5.00     	30.16  	23.5 	17.7 	3.418069E+2	3.659952E-5 	2.257283E+5	3.785939E+0	-1.323447E+0	5.773503E-6 	3.636028E+2	3.418069E+2
-5.0    	5       	3.624861E+2	4.090723E-3	-5.49E+1   	-5.00     	32.68  	23.5 	17.7 	3.406411E+2	2.342829E-5 	2.264623E+5	2.886751E+0	-1.322773E+0	5.773503E-6 	3.624861E+2	3.406411E+2
-5.0    	6       	3.567168E+2	7.761060E-3	-4.38E+1   	-5.00     	35.13  	23.5 	17.7 	3.285179E+2	5.471415E-5 	2.324603E+5	5.131601E+0	-1.285793E+0	5.773503E-6 	3.567168E+2	3.285179E+2
-5.0    	7       	3.697670E+2	5.576738E-4	-4.73E+1   	-5.00     	37.56  	23.5 	17.7 	3.401877E+2	6.346898E-6 	2.243710E+5	1.000000E+0	-1.284050E+0	1.000000E-5 	3.697670E+2	3.401877E+2
-5.0    	8       	3.178940E+2	7.159631E-3	-4.42E+1   	-5.00     	40.08  	23.5 	17.7 	2.810798E+2	4.436840E-5 	2.662160E+5	4.358899E+0	-1.223557E+0	4.509250E-5 	3.178940E+2	2.810798E+2
-5.0    	9       	4.618206E+2	0.000000E+0	-4.87E+1   	-5.00     	42.52  	23.5 	17.7 	4.395592E+2	0.000000E+0 	1.766220E+5	0.000000E+0	-1.349440E+0	2.719480E-16	4.618206E+2	4.395592E+2
-5.0    	10      	4.551264E+2	2.547986E-3	-4.84E+1   	-5.00     	44.95  	23.5 	17.7 	4.360923E+2	5.960557E-6 	1.786220E+5	1.000000E+0	-1.364840E+0	0.000000E+0 	4.551264E+2	4.360923E+2
-5.0    	11      	4.494251E+2	1.433850E-3	-4.93E+1   	-5.00     	47.33  	23.5 	17.7 	4.302643E+2	1.884358E-6 	1.809647E+5	5.773503E-1	-1.362820E+0	0.000000E+0 	4.494251E+2	4.302643E+2
-5.0    	12      	4.459260E+2	7.050703E-2	-4.93E+1   	-5.00     	49.76  	23.5 	17.6 	4.266836E+2	5.619647E-3 	1.824340E+5	3.044667E+1	-1.361543E+0	4.163332E-5 	4.459260E+2	4.266836E+2
