Color legend,,,,,,,,,,,,,,,,w,,,,,,,,,,,
Neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-ray irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be X-ray irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipment to HEPHY week 44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Full sensors,,,,,, MOS+GCD,,Strip sensors,,Diodes (no p-stop),,,,,,PQC,,HPK structures,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,Current location,RINSC plan,Pre-irrad. test,Sent to RINSC?,RINSC irrad. round,Post irrad. test,"TS UL MOS, GCD","TS LR MOS, GCD",TS UR HGCAL mini Strip,TS LL Tracker like Strip (no p-stop split),TS UL Diodes (3 diodes),TS UR Diodes (2 diodes),TS UR Diodes (3 diodes),TS LL Diodes (2 diodes),TS LL Diodes (3 diodes),TS LR Diodes (3 diodes),TS UL PQC,TS LR PQC,TS Top,TS bottom
N4788_2,300001,120,com,B,-2,STD,epi,Transit to Brown,RINSC 1.0E16,Done,,TBD,,CERN->X-ray,CERN->Xray,HEPHY -> Ljubljana 5.5E15,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,CERN,CERN
N4788_3,300002,120,com,B,-2,STD,epi,CERN,non-irr. ref,Done,,TBD,,CERN,CERN,HEPHY -> Ljubljana 1E16,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,CERN,CERN
N4788_4,300003,120,com,B,-2,STD,epi,FSU,RINSC 1.4E16,Ongoing,,TBD,,CERN,CERN,HEPHY -> Ljubljana 1E16,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,CERN,CERN
N4788_5,300004,120,com,B,-2,STD,epi,BROWN,RINSC 1.0E16,Done,,4,,CERN,CERN,HEPHY -> Ljubljana 1.4E16,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY -> Ljubljana 1.4E16,CERN,CERN
N4788_6,300005,120,com,B,-2,STD,epi,Transit to Brown,RINSC 1.4E16,Done,,,,CERN,CERN,HEPHY -> Ljubljana 1.4E16,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,CERN,CERN
N4788_7,300006,120,com,B,-2,STD,epi,CERN,,Done,,,,CERN,CERN,HEPHY,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY -> FSU,HEPHY -> FSU,CERN,CERN
N4788_8,300007,120,com,B,-2,STD,epi,CERN,,Done,,,,CERN,CERN,HEPHY,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY -> FSU,HEPHY -> FSU,CERN,CERN
N4789_10,300032,120,com,C,-2,STD,epi,CERN,non-irr. ref,Done,,TBD,,CERN->X-ray,CERN->Xray,HEPHY -> Ljubljana 5.5E15,CERN,CERN irrad @ Ljubljana 5.5E15,CERN irrad @ Ljubljana 5.5E15,CERN irrad @ Ljubljana 5.5E15,CERN irrad @ Ljubljana 5.5E15,CERN irrad @ Ljubljana 5.5E15,CERN irrad @ Ljubljana 5.5E15,HEPHY,HEPHY -> Ljubljana 5.5E15,CERN,CERN
N4789_12,300034,120,com,C,-2,STD,epi,Transit to Brown,RINSC 1.4E16,Done,,TBD,,CERN->X-ray,CERN->X-ray,HEPHY -> Ljubljana 1E16,CERN,CERN irrad @ Ljubljana 1.0E16,CERN irrad @ Ljubljana 1.0E16,CERN irrad @ Ljubljana 1.0E16,CERN irrad @ Ljubljana 1.0E16,CERN irrad @ Ljubljana 1.0E16,CERN irrad @ Ljubljana 1.0E16,HEPHY,HEPHY,CERN,CERN
