,,,,,,,,,HPK full probe card,,,,,,,,,CMS full probe card (on dicing frame),,,,,,,,,CMS full probe card (off dicing frame),,,,,,,,,,HPK full probe card,,,,,,,,,CMS full probe card (on dicing frame),,,,,,,,,CMS full probe card (off dicing frame),,,,,,,,,"CMS full probe card (off dicing frame), remeasured",,,,,,,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,1) Ncell with I600 > 100nA,,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,"1) Ncell with I600 > 100nA, per-pad characteristic",,"2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA, per-pad charcteristic",3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,1) Ncell with I600 > 100nA,,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,Sensor ID,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,1) Ncell with I600 > 100nA,,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,1) Ncell with I600 > 100nA,,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,1) Ncell with I600 > 100nA,,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2),,I_tot_600V <100uA,I_tot_800V < 2.5* I_tot_600V,,1) Ncell with I600 > 100nA,,2) Ncell with I800 > 2.5 * I600 & I600>10nA threshold || I800>25nA & I600<10nA,3) More than 8 bad cells: requirem. 1) and 2),4) More than two neighbour cells bad: requirem. 1) and 2)
N4791_1,100088,300,com,A,-5,STD,FZ,,Passed,Failed,,1,,0,Passed,Passed,,Passed,Failed,,1,,1,Passed,Passed,,Passed,Passed,,2,,0,Passed,Passed,,N4791_1,Passed,Failed,,1,,0,Passed,Passed,,Passed,Failed,,1,,1,Passed,Passed,,Passed,Passed,,2,,0,Passed,Passed,,Passed,Failed,,1,,2,Passed,Passed
N4791_2,100089,300,com,A,-5,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Failed,,0,,1,Passed,Passed,,N4791_2,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Failed,,0,,1,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed
N4791_3,100090,300,com,A,-5,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,,,,,,,,,,,,N4790_1,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Failed,,0,,1,Passed,Passed,,,,,,,,,
N4791_4,100091,300,com,A,-5,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,,,,,,,,,,,,N4790_2,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,1,,0,Passed,Passed,,Passed,Failed,,0,,1,Passed,Passed,,,,,,,,,
N4790_1,100076,300,com,B,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Failed,,0,,1,Passed,Passed,,N4790_3,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed
N4790_2,100077,300,com,B,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,1,,0,Passed,Passed,,Passed,Failed,,0,,1,Passed,Passed,,N4791_6,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Failed,,0,,1,Passed,Passed,,,,,,,,,
N4790_3,100078,300,com,B,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,N4791_7,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Failed,,1,,0,Passed,Passed,,,,,,,,,
N4790_4,100079,300,com,B,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed,,N4791_8,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,1,Passed,Passed,,,,,,,,,
N4790_5,100080,300,com,B,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,,,Passed,Failed,,1,,0,Passed,Passed,,N4791_9,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,
N4790_6,100081,300,com,B,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,,,,,,,,,,,,N4791_18,Passed,Passed,,0,,0,Passed,Passed,,Not available,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,
N4791_6,100093,300,com,C,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Failed,,0,,1,Passed,Passed,,N4791_19,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,
N4791_7,100094,300,com,C,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Failed,,1,,0,Passed,Passed,,N4791_20,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,,,Passed,Failed,,0,,1,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed
N4791_8,100095,300,com,C,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,1,Passed,Passed,,N4791_21,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,,,Passed,Failed,,0,,1,Passed,Passed,,,,,,,,,
N4791_9,100096,300,com,C,-2,STD,FZ,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,N4790_13,Passed,Passed,,0,,0,Passed,Passed,,Passed,Passed,,1,,0,Passed,Passed,,Passed,Passed,,0,,0,Passed,Passed,,,,,,,,,
