Fluence colour code,,RINSC irrad. round,Target fluence [neq/cm2],Sensor ID,Scratch pad ID,Oxide type,Thick- ness,P-stop,Current location,Pre-irrad. IV+CV institute,Estimated arrival date at Brown,Irradiation date at RINSC (one per week),Irradiation status (Done/ scheduled),"Wafer location from reactor core (1st, 2nd, 3rd)",Puck material,Measured fluence D0 diodes front,Measured fluence D0 diodes back,Measured fluence iron foil,"Average annealing time, equivalent to 60° C",Post-irrad. IV+CV institute,TREC #at CERN,Reference on irradiation (talk in indico),
1.50E+15,,1,1.50E+15,N4790_1,100076,B,300,com,CERN,CERN,01/11/2021,17/11/2021,Done,2,Acrylic,,,,about 8min,CERN,CR-119724,https://indico.cern.ch/event/1104330/contributions/4646171/attachments/2364583/4037185/12-14-2021_Irradiation_Update_from_Brown.pdf,
2.00E+15,,1,1.50E+15,N4791_6,100093,C,300,com,CERN,CERN,01/11/2021,17/11/2021,Done,1,,,,,,CERN,CR-119724,,
4.00E+15,,1,1.50E+15,N4790_13,100082,D,300,com,CERN,CERN,01/11/2021,17/11/2021,Done,3,,,,,,CERN,CR-119724,,
5.50E+15,,,,,,,,,,,,,,,,,,,,,,,
1.00E+16,,2,2.00E+15,N4790_2,100077,B,300,com,CERN,CERN,01/11/2021,06/12/2021,Done,2,Acrylic,,,,about 31min,CERN,CR-119724,https://indico.cern.ch/event/1104330/contributions/4646171/attachments/2364583/4037185/12-14-2021_Irradiation_Update_from_Brown.pdf,*https://cernbox.cern.ch/index.php/s/5QudbpeY2dXGxZ5?path=%2F2021_2022%2FRound2
1.40E+16,,2,2.00E+15,N4791_7,100094,C,300,com,CERN,CERN,01/11/2021,06/12/2021,Done,3,,,,,,CERN,CR-119724,,
,,2,2.00E+15,N4790_14,100083,D,300,com,CERN,CERN,01/11/2021,06/12/2021,Done,1,,,,,,CERN,CR-119724,,
,,,,,,,,,,,,,,,,,,,,,,,
,,3,4.00E+15,N4790_7,200075,B,200,com,CERN,FSU,16/12/2021,16/12/2021,Done,1,PEEK,,,,about 8min,CERN,CR-119724,https://indico.cern.ch/event/1107415/contributions/4671346/attachments/2370619/4048687/1-11-2022_Irradiation_Update_from_Brown.pdf,
,,3,4.00E+15,N4792_6,200092,C,200,com,CERN,FSU,16/12/2021,16/12/2021,Done,2,,,,,,CERN,CR-119724,,
,,3,4.00E+15,N4790_19,200081,D,200,com,CERN,FSU,16/12/2021,16/12/2021,Done,3,,,,,,CERN,CR-119724,,
,,,,,,,,,,,,,,,,,,,,,,,
